PlayerCard1,PlayerCard2,DealerHand,PlayerChoices,Win,Lost,Push,Total
A,7,6,stay,135,85,27,247
A,7,7,double,75,56,12,143
A,7,7,hit,27,28,3,58
A,7,7,stay,127,48,28,203
A,7,8,double,78,66,15,159
A,7,8,hit,36,36,5,77
A,7,8,stay,93,55,74,222
A,7,9,double,68,73,12,153
A,7,9,hit,21,43,10,74
A,7,9,stay,79,119,16,214
A,7,A,double,28,97,19,144
A,7,A,hit,18,49,6,73
A,7,A,stay,39,133,36,208
A,8,10,double,225,351,46,622
A,8,10,hit,116,155,27,298
A,8,10,stay,424,402,94,920
A,8,2,double,74,72,15,161
A,8,2,hit,35,38,8,81
A,8,2,stay,126,45,33,204
A,8,3,double,88,64,13,165
A,8,3,hit,27,25,5,57
A,8,3,stay,137,62,37,236
A,8,4,double,81,72,8,161
A,8,4,hit,30,35,3,68
A,8,4,stay,141,69,33,243
A,8,5,double,87,70,9,166
A,8,5,hit,53,31,6,90
A,8,5,stay,139,57,29,225
A,8,6,double,82,67,6,155
A,8,6,hit,44,18,1,63
A,8,6,stay,152,43,30,225
A,8,7,double,78,86,10,174
A,8,7,hit,37,25,3,65
A,8,7,stay,201,30,18,249
A,8,8,double,60,78,12,150
A,8,8,hit,31,43,2,76
A,8,8,stay,154,30,35,219
A,8,9,double,68,82,18,168
A,8,9,hit,38,34,6,78
A,8,9,stay,119,47,100,266
A,8,A,double,34,94,14,142
A,8,A,hit,16,39,12,67
A,8,A,stay,77,119,34,230
A,9,10,double,193,353,66,612
A,9,10,hit,112,178,41,331
A,9,10,stay,480,97,305,882
A,9,2,double,76,69,9,154
A,9,2,hit,36,35,4,75
A,9,2,stay,173,31,39,243
A,9,3,double,69,72,5,146
A,9,3,hit,45,40,2,87
A,9,3,stay,161,36,37,234
A,9,4,double,76,82,11,169
A,9,4,hit,45,30,6,81
A,9,4,stay,180,30,27,237
A,9,5,double,86,65,20,171
A,9,5,hit,53,36,4,93
A,9,5,stay,191,27,22,240
A,9,6,double,64,69,6,139
A,9,6,hit,46,36,2,84
A,9,6,stay,190,26,23,239
A,9,7,double,79,58,7,144
A,9,7,hit,39,31,3,73
A,9,7,stay,181,15,18,214
A,9,8,double,59,85,14,158
A,9,8,hit,32,24,3,59
A,9,8,stay,190,16,17,223
A,9,9,double,60,66,11,137
A,9,9,hit,33,26,6,65
A,9,9,stay,167,9,31,207
A,9,A,double,27,99,16,142
A,9,A,hit,19,62,5,86
A,9,A,stay,111,79,27,217
A,A,10,double,226,337,48,611
A,A,10,hit,95,141,26,262
A,A,10,stay,179,704,0,883
A,A,2,double,64,50,8,122
A,A,2,hit,32,44,3,79
A,A,2,stay,74,156,0,230
A,A,3,double,75,57,10,142
A,A,3,hit,35,37,6,78
A,A,3,stay,70,134,0,204
A,A,4,double,87,65,11,163
A,A,4,hit,41,35,5,81
A,A,4,stay,75,139,0,214
A,A,5,double,83,59,9,151
A,A,5,hit,28,27,4,59
A,A,5,stay,88,132,0,220
A,A,6,double,78,66,8,152
A,A,6,hit,27,34,5,66
A,A,6,stay,94,109,0,203
A,A,7,double,84,61,10,155
A,A,7,hit,28,41,8,77
A,A,7,stay,53,152,0,205
A,A,8,double,80,58,7,145
A,A,8,hit,33,40,4,77
A,A,8,stay,39,184,0,223
A,A,9,double,66,79,7,152
A,A,9,hit,34,39,4,77
A,A,9,stay,52,153,0,205
A,A,A,double,15,86,9,110
A,A,A,hit,17,39,7,63
A,A,A,stay,9,160,0,169
